id	ID_individuo	Tipo_muestra	Parcela	Altitud	Esteriles	Fertiles	Soros_inmaduros	Soros_maduros	Circinios	Altura	C_base	C_medio	C_apice	Long_hojaNS	Long_OE	T_prom_tot	T_prom_jul	Luz_prom_tot	Luz_prom_jul	HR_prom_tot	HR_prom_jul	pH	CE	M.O.          ( % )	N   	Ctotal	Ptotal	P	K	Ca	Mg	Na	CIC	N-  NO3	N-  NH4	Fe
HS1	Sin_individuo	Suelo	1	2210												13.41	13.69	1033.87	540.18	88.46	98.33	3.5	0.08	16	0.4	19.5	0.03	10	0.4	0.5	0.6	0.2	33.1	29	66	261
HF1A	1A	Filosfera	1	2210	4	0	0	0	1	41	40		41	247	254	13.42	13.72	1004.35	467.95	88.46	98.33	3.7	0.06	5	0.2	4.8	0.02	7	0.3	0.2	0.2	0.1	16.1	32	35	49
HF1B	1B	Filosfera	1	2210	6	0	0	0	2	60	62		65	286	287	13.62	13.76	1597.78	863.34	88.46	98.33	3.8	0.11		0.3	41.2	0.07	39	1.5	3.5	4.4	0.2	110	27	295	116
HF1C	1C	Filosfera	1	2210	2	3	0	3	3	390	41	27	41	214	270	13.19	13.59	499.47	289.25	88.46	98.33	3.4	0.15	14	0.3	7.8	0.01	13	0.6	0.6	0.4	0.1	23.8	47	48	95
HS2	Sin_individuo	Suelo	2	1978												13.59	14.42	290.44	342.65	94.35	99.18	3.6	0.14	10	0.3	7.5	0.09	16	0.3	0.7	0.5	0.1	14.8	110	25	431
HF2A	2A	Filosfera	2	1978	8	0	0	0	2	260	41	51	55	327	305	13.54	14.46	237.3	364.72	94.35	99.18	4.4	0.07	8	0.4	5.4	0.07	11	0.3	2.2	0.6	0.1	21.3	65	19	347
HF2B	2B	Filosfera	2	1978	4	0	0	0	4	153	50		49	246	303	13.54	14.46	237.3	364.72	94.35	99.18	4	0.05	6	0.3	4.2	0.08	17	0.2	0.6	0.3	0	18.4	39	19	291
HF2C	2C	Filosfera	2	1978	3	0	0	0	4	70	36		44	326	318	13.68	14.35	396.71	298.5	94.35	99.18	3.8	0.07	11	0.4	5.9	0.1	12	0.4	0.6	0.4	0.1	25.3	85	25	320
HS3	Sin_individuo	Suelo	3	2178												13.09	13.92	760.74	1213.37	89.04	99.11	3.6	0.07	29	0.8	21.3	0.06	10	0.6	1.5	0.9	0.2	45.1	52	63	406
HF3A	3A	Filosfera	3	2178	8	0	0	0	2	186	57	51	59	230	200	13.2	14.03	1126.18	2249.09	89.04	99.11	3.5	0.11	20	0.7	10.2	0.04	8	0.3	2	0.7	0.1	47.3	95	29	518
HF3B	3B	Filosfera	3	2178	2	2	2	0	2	28	42		47	216	228	13.23	14.13	776.39	1030.44	89.04	99.11	3.3	0.06	10	0.9	8.3	0.02	8	0.4	0.6	0.4	0.1	25.6	31	29	443
HF3C	3C	Filosfera	3	2178	0	1	0	1	9	185	55	60	63	315		12.84	13.59	379.65	360.59	89.04	99.11	3.8	0.05	7	0.2	4.5	0.05	5	0.2	0.7	0.4	0	20	57	26	292
HS4	Sin_individuo	Suelo	4	2007												13.36	14.41	374.47	1009.3	95.94	98.88	3.9	0.03	15	0.6	9.14	0.1	5	0.3	0.2	0.4	0	27	102	37	363
HF4A	4A	Filosfera	4	2007	5	0	0	0	3	158	44		51	275	250	13.53	14.47	539.65	1817.05	95.94	98.88	3.7	0.08	11	0.2	7.7	0.07	11	0.3	0.9	0.5	0	24.6	74	28	393
HF4B	4B	Filosfera	4	2007	3	0	0	0	0	21	30		35	195	186	13.24	14.25	188.46	179.42	95.94	98.88	3.3	0.09	31	0.4	22.8	0.08	27	0.7	1	1	0.2	53.7	72	143	494
HF4C	4C	Filosfera	4	2007	3	0	0	0	4	205	36	42	56	253	252	13.32	14.5	395.29	1031.41	95.94	98.88	3.7	0.04	30	0.6	19.7	0.12	21	0.7	2.7	1.2	0.1	42.2	67	51	540
HS5	Sin_individuo	Suelo	5	2018												13.25	14.1	455.62	640.69	92.97	99.32	3.6	0.05	26	0.7	15.23	0.08	18	0.5	2.5	1.7	0	50.6	81	52	440
HF5A	5A	Filosfera	5	2018	3	0	0	0	3	37	32		40	276	298	13.11	13.94	375.27	297.75	92.97	99.32	3.4	0.07	31	0.8	21.93	0.07	16	0.5	3	1	0.1	91.7	100	80	345
HF5B	5B	Filosfera	5	2018	2	2	0	2	4	110	58		60	325	283	13.48	14.43	730.57	1389.3	92.97	99.32	3.6	0.06	9	0.4	4.948	0.07	9	0.3	0.4	0.5	0	17.4	77	16	426
HF5C	5C	Filosfera	5	2018	2	0	0	0	0	23	32		27	140	150	13.15	13.92	261.03	235.02	92.97	99.32	3.6	0.05	7	0.3	4.35	0.06	5	0.2	0.1	0.2	0.2	28.3	50	37	364
HR1A	1A	Rizosfera	1	2210	4	0	0	0	1	41	40		41	247	254	13.42	13.72	1004.35	467.95	88.46	98.33	3.7	0.06	5	0.2	4.8	0.02	7	0.3	0.2	0.2	0.1	16.1	32	35	49
HR1B	1B	Rizosfera	1	2210	6	0	0	0	2	60	62		65	286	287	13.62	13.76	1597.78	863.34	88.46	98.33	3.8	0.11		0.3	41.2	0.07	39	1.5	3.5	4.4	0.2	110	27	295	116
HR1C	1C	Rizosfera	1	2210	2	3	0	3	3	390	41	27	41	214	270	13.19	13.59	499.47	289.25	88.46	98.33	3.4	0.15	14	0.3	7.8	0.01	13	0.6	0.6	0.4	0.1	23.8	47	48	95
HR2A	2A	Rizosfera	2	1978	8	0	0	0	2	260	41	51	55	327	305	13.54	14.46	237.3	364.72	94.35	99.18	4.4	0.07	8	0.4	5.4	0.07	11	0.3	2.2	0.6	0.1	21.3	65	19	347
HR2B	2B	Rizosfera	2	1978	4	0	0	0	4	153	50		49	246	303	13.54	14.46	237.3	364.72	94.35	99.18	4	0.05	6	0.3	4.2	0.08	17	0.2	0.6	0.3	0	18.4	39	19	291
HR2C	2C	Rizosfera	2	1978	3	0	0	0	4	70	36		44	326	318	13.68	14.35	396.71	298.5	94.35	99.18	3.8	0.07	11	0.4	5.9	0.1	12	0.4	0.6	0.4	0.1	25.3	85	25	320
HR3A	3A	Rizosfera	3	2178	8	0	0	0	2	186	57	51	59	230	200	13.2	14.03	1126.18	2249.09	89.04	99.11	3.5	0.11	20	0.7	10.2	0.04	8	0.3	2	0.7	0.1	47.3	95	29	518
HR3B	3B	Rizosfera	3	2178	2	2	2	0	2	28	42		47	216	228	13.23	14.13	776.39	1030.44	89.04	99.11	3.3	0.06	10	0.9	8.3	0.02	8	0.4	0.6	0.4	0.1	25.6	31	29	443
HR3C	3C	Rizosfera	3	2178	0	1	0	1	9	185	55	60	63	315		12.84	13.59	379.65	360.59	89.04	99.11	3.8	0.05	7	0.2	4.5	0.05	5	0.2	0.7	0.4	0	20	57	26	292
HR4A	4A	Rizosfera	4	2007	5	0	0	0	3	158	44		51	275	250	13.53	14.47	539.65	1817.05	95.94	98.88	3.7	0.08	11	0.2	7.7	0.07	11	0.3	0.9	0.5	0	24.6	74	28	393
HR4C	4C	Rizosfera	4	2007	3	0	0	0	4	205	36	42	56	253	252	13.32	14.5	395.29	1031.41	95.94	98.88	3.7	0.04	30	0.6	19.7	0.12	21	0.7	2.7	1.2	0.1	42.2	67	51	540
HR5A	5A	Rizosfera	5	2018	3	0	0	0	3	37	32		40	276	298	13.11	13.94	375.27	297.75	92.97	99.32	3.4	0.07	31	0.8	21.93	0.07	16	0.5	3	1	0.1	91.7	100	80	345
HR5B	5B	Rizosfera	5	2018	2	2	0	2	4	110	58		60	325	283	13.48	14.43	730.57	1389.3	92.97	99.32	3.6	0.06	9	0.4	4.948	0.07	9	0.3	0.4	0.5	0	17.4	77	16	426
HR5C	5C	Rizosfera	5	2018	2	0	0	0	0	23	32		27	140	150	13.15	13.92	261.03	235.02	92.97	99.32	3.6	0.05	7	0.3	4.35	0.06	5	0.2	0.1	0.2	0.2	28.3	50	37	364
HRBS1-Control	Control	BSA																																		
HRCextra-Control	Control	Control extraccion																																		
Later-Control	Control	RNA later																																		
